Serial,Event,Code Province/State,Province/State,Municipality,Date,Month,Day,Year,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Affected,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Agriculture,Year
3338,FLOOD,IDN31,DKI JAKARTA,KOTA JAKARTA UTARA,13-Jun-07,6,13,2007,,,,,,,,,,4,,,,2007
4059,FLOOD,IDN72,SULAWESI TENGAH,DONGGALA,14-Jun-07,6,14,2007,,,,16,,,,,,,,,,2007
4024,FLOOD,IDN73,SULAWESI SELATAN,WAJO,15-Jun-07,6,15,2007,6,,,,,,8388,,,60,10,,,2007
4155,FIRE,IDN16,SUMATERA SELATAN,LAHAT,22-Jun-07,6,22,2007,,,,12,,67,,,500,,,,,2007
4156,FIRE,IDN16,SUMATERA SELATAN,LAHAT,29-Jun-07,6,29,2007,,,,4,,33,,,300,,,,,2007
4184,FIRE,IDN16,SUMATERA SELATAN,KOTA PALEMBANG,30-Jun-07,6,30,2007,,,,,18,165,,,150,,,,,2007
4134,FIRE,IDN13,SUMATERA BARAT,KOTA PADANG PANJANG,10-Jul-07,7,10,2007,,,,,,,,,,,,,,2007
4185,FIRE,IDN16,SUMATERA SELATAN,KOTA PALEMBANG,18-Jul-07,7,18,2007,,,,90,,685,,,4000,,,,,2007
4063,FLOOD,IDN72,SULAWESI TENGAH,MOROWALI,22-Jul-07,7,22,2007,76,2371,14,198,42,,17078,,,5,,,,2007
4193,FLOOD,IDN12,SUMATERA UTARA,TAPANULI TENGAH,22-Jul-07,7,22,2007,2,,,2,,,,,,,,,,2007
4111,FLOOD,IDN13,SUMATERA BARAT,AGAM,22-Jul-07,7,22,2007,,,,1,119,,,,,3,,,,2007
4122,FLOOD,IDN13,SUMATERA BARAT,PASAMAN BARAT,22-Jul-07,7,22,2007,,,,,,,,,,,,,,2007
4217,FLOOD,IDN12,SUMATERA UTARA,MANDAILING NATAL,23-Jul-07,7,23,2007,,,,1,,,6716,,,,,,,2007
4197,FLOOD,IDN12,SUMATERA UTARA,NIAS,23-Jul-07,7,23,2007,1,,,,,,470,,,,1,,,2007
4196,FLOOD,IDN12,SUMATERA UTARA,TAPANULI SELATAN,23-Jul-07,7,23,2007,4,183,,39,,,,,6000,,,,,2007
4221,FLOOD,IDN12,SUMATERA UTARA,SERDANG BEDAGAI,23-Jul-07,7,23,2007,,,,,,,,,,,,,,2007
4034,FLOOD,IDN73,SULAWESI SELATAN,LUWU,25-Jul-07,7,25,2007,13,,1,6,,,4800,,,,13,,,2007
4076,FLOOD,IDN71,SULAWESI UTARA,MINAHASA,25-Jul-07,7,25,2007,3,11,,6,,,341,,,,,,,2007
4025,FLOOD,IDN73,SULAWESI SELATAN,WAJO,25-Jul-07,7,25,2007,2,,1,,,,,,,,5,,,2007
4080,FLOOD,IDN71,SULAWESI UTARA,MINAHASA SELATAN,25-Jul-07,7,25,2007,1,4,,145,118,10549,,,,16,3,,,2007
4065,FLOOD,IDN72,SULAWESI TENGAH,PARIGI MOUTONG,27-Jul-07,7,27,2007,,96,,,,,127,,,,,,,2007
