Event,Province,Code,Date,Month,Day,Year, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Victims, Affected, Relocated, Evacuated, Losses $USD, Losses $Local, Damages in crops Ha., Agriculture, Power and Energy, Relief, Plantation/Forest
FIRE,JAWA TENGAH,33,3/7/2011,3,7,2011,5,0,0,0,0,0,0,0,0,0,0,661,0,0,0,0,0
FLOODS,JAWA BARAT,32,3/7/2011,3,7,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,JAWA TENGAH,33,3/7/2011,3,7,2011,2,0,0,0,0,0,0,9,0,0,0,100,0,0,0,0,0
FIRE,KALIMANTAN SELATAN,63,3/8/2011,3,8,2011,1,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,3/8/2011,3,8,2011,1,0,0,0,0,0,0,0,0,12,0,450,0,0,0,0,0
FLOODS,JAWA TIMUR,35,3/8/2011,3,8,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,3/9/2011,3,9,2011,1,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0
FIRE,JAWA TENGAH,33,3/9/2011,3,9,2011,1,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0
FIRE,SUMATERA SELATAN,16,3/9/2011,3,9,2011,2,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0
FLOODS,PEMERINTAH ACEH,11,3/10/2011,3,10,2011,1,12,2,0,0,0,0,0,0,2,0,225.845,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,3/10/2011,3,10,2011,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
FLOODS,KALIMANTAN TENGAH,62,3/11/2011,3,11,2011,1,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0
FIRE,SULAWESI SELATAN,73,3/11/2011,3,11,2011,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
FIRE,SUMATERA SELATAN,16,3/11/2011,3,11,2011,1,0,0,0,0,0,0,6,0,0,0,50,0,0,0,0,0
FLOODS,JAWA BARAT,32,3/11/2011,3,11,2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,JAWA TENGAH,33,3/11/2011,3,11,2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,JAWA TENGAH,33,3/12/2011,3,12,2011,1,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0
FIRE,SUMATERA SELATAN,16,3/12/2011,3,12,2011,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FLOODS,SULAWESI TENGAH,72,3/12/2011,3,12,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,KALIMANTAN BARAT,61,3/13/2011,3,13,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,JAWA TIMUR,35,3/13/2011,3,13,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,SUMATERA BARAT,13,3/13/2011,3,13,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,PEMERINTAH ACEH,11,3/14/2011,3,14,2011,1,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
FLOODS,JAWA TENGAH,33,3/14/2011,3,14,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,KALIMANTAN SELATAN,63,3/15/2011,3,15,2011,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,3/15/2011,3,15,2011,1,0,2,0,0,0,0,0,0,11,0,75,0,0,0,0,0
FLOODS,PEMERINTAH ACEH,11,3/16/2011,3,16,2011,1,0,0,0,0,0,0,0,0,3,0,0,70,1,0,0,70
FIRE,JAWA TENGAH,33,3/16/2011,3,16,2011,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
FIRE,SULAWESI SELATAN,73,3/16/2011,3,16,2011,1,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0
FIRE,LAMPUNG,18,3/17/2011,3,17,2011,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,3/17/2011,3,17,2011,1,0,0,0,0,0,0,0,0,10,0,150,0,0,0,0,0
FIRE,JAMBI,15,3/18/2011,3,18,2011,1,0,4,0,0,0,0,805,0,0,0,8.8,0,0,0,0,0
FIRE,SUMATERA SELATAN,16,3/18/2011,3,18,2011,1,0,0,0,0,0,0,21,0,0,0,80,0,0,0,0,0
FLOODS,DI YOGYAKARTA,34,3/19/2011,3,19,2011,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
